Participant Name,Timestamp,Game Stage,Game Load Time,Game End Time,Role,Game Start Time,Screen Text,Screen Text Position,Position,Attitude,GAME_END_THRESHOLD,START_TIME_COUNTDOWN,GAME_DURATION
,2022-08-17 22:17:46.107715,Connected Not Started,2022-08-17 22:17:42.430194,,Hider,,Waiting for other player to connect...,"[0.33, 0.5, 0]","[0.0, 1.8200000524520874, -0.0]","[-0.0, -0.0, 0.0, 1.0]",2,10,30
,2022-08-17 22:17:46.108671,Connected Not Started,2022-08-17 22:17:42.430194,,Hider,,Waiting for other player to connect...,"[0.33, 0.5, 0]","[0.0, 1.850000023841858, -0.0]","[-0.0, -0.0, 0.0, 1.0]",2,10,30
,2022-08-17 22:17:46.547013,Connected Not Started,2022-08-17 22:17:42.430194,,Hider,,Waiting for other player to connect...,"[0.33, 0.5, 0]","[0.0, 1.9415676593780518, -0.0]","[-0.0, -0.0, 0.0, 1.0]",2,10,30
,2022-08-17 22:17:46.548010,Connected Not Started,2022-08-17 22:17:42.430194,,Hider,,Waiting for other player to connect...,"[0.33, 0.5, 0]","[0.0, 1.948567509651184, -0.0]","[-0.0, -0.0, 0.0, 1.0]",2,10,30
,2022-08-17 22:17:46.552010,Connected Not Started,2022-08-17 22:17:42.430194,,Hider,,Waiting for other player to connect...,"[0.33, 0.5, 0]","[0.0, 2.093357801437378, -0.0]","[-0.0, -0.0, 0.0, 1.0]",2,10,30
,2022-08-17 22:17:46.567969,Connected Not Started,2022-08-17 22:17:42.430194,,Hider,,Waiting for other player to connect...,"[0.33, 0.5, 0]","[0.0, 2.1003577709198, -0.0]","[-0.0, -0.0, 0.0, 1.0]",2,10,30
,2022-08-17 22:17:46.585900,Connected Not Started,2022-08-17 22:17:42.430194,,Hider,,Waiting for other player to connect...,"[0.33, 0.5, 0]","[0.0, 3.9203577041625977, -0.0]","[-0.0, -0.0, 0.0, 1.0]",2,10,30
,2022-08-17 22:17:46.602568,Connected Not Started,2022-08-17 22:17:42.430194,,Hider,,Waiting for other player to connect...,"[0.33, 0.5, 0]","[0.0, 3.9203577041625977, -0.0]","[-0.0, -0.0, 0.0, 1.0]",2,10,30
,2022-08-17 22:17:46.619468,Connected Not Started,2022-08-17 22:17:42.430194,,Hider,,Waiting for other player to connect...,"[0.33, 0.5, 0]","[0.0, 3.9203577041625977, -0.0]","[-0.0, -0.0, 0.0, 1.0]",2,10,30
,2022-08-17 22:17:46.636335,Connected Not Started,2022-08-17 22:17:42.430194,,Hider,,Waiting for other player to connect...,"[0.33, 0.5, 0]","[0.0, 3.9203577041625977, -0.0]","[-0.0, -0.0, 0.0, 1.0]",2,10,30
,2022-08-17 22:17:46.653729,Connected Not Started,2022-08-17 22:17:42.430194,,Hider,,Waiting for other player to connect...,"[0.33, 0.5, 0]","[0.0, 3.9203577041625977, -0.0]","[-0.0, -0.0, 0.0, 1.0]",2,10,30
