Participant Name,Timestamp,Game Stage,Game Load Time,Game End Time,Role,Game Start Time,Screen Text,Screen Text Position,Position,Attitude,GAME_END_THRESHOLD,START_TIME_COUNTDOWN,GAME_DURATION
,2022-08-17 22:12:59.687203,Connected Not Started,2022-08-17 22:12:59.687203,,Seeker,,Waiting for other player to connect.,"[0.33, 0.5, 0]","[0.0, 1.8200000524520874, -0.0]","[-0.0, -0.0, 0.0, 1.0]",2,10,30
Subject1,2022-08-17 22:13:16.452082,Connected Not Started,2022-08-17 22:12:59.687203,,Seeker,,Waiting for other player to connect.,"[0.33, 0.5, 0]","[5.0, 2.0, 10.0]","[-0.0, -0.7157255411148071, 0.0, 0.6983816623687744]",2,10,30
Subject1,2022-08-17 22:13:21.621757,Connected Not Started,2022-08-17 22:12:59.687203,,Seeker,,Waiting for other player to connect.,"[0.33, 0.5, 0]","[5.0, 2.0, 10.0]","[-0.0, -0.7157255411148071, 0.0, 0.6983816623687744]",2,10,30
Subject1,2022-08-17 22:13:21.621757,Connected Not Started,2022-08-17 22:12:59.687203,,Seeker,,Waiting for other player to connect.,"[0.33, 0.5, 0]","[5.0, 2.0, 10.0]","[-0.0, -0.7157255411148071, 0.0, 0.6983816623687744]",2,10,30
Subject1,2022-08-17 22:13:21.621757,Connected Not Started,2022-08-17 22:12:59.687203,,Seeker,,Waiting for other player to connect.,"[0.33, 0.5, 0]","[5.0, 2.0, 10.0]","[-0.0, -0.7157255411148071, 0.0, 0.6983816623687744]",2,10,30
Subject1,2022-08-17 22:13:21.621757,Connected Not Started,2022-08-17 22:12:59.687203,,Seeker,,Waiting for other player to connect.,"[0.33, 0.5, 0]","[5.0, 2.0, 10.0]","[-0.0, -0.7157255411148071, 0.0, 0.6983816623687744]",2,10,30
Subject1,2022-08-17 22:13:21.621757,Connected Not Started,2022-08-17 22:12:59.687203,,Seeker,,Waiting for other player to connect.,"[0.33, 0.5, 0]","[5.0, 2.0, 10.0]","[-0.0, -0.7157255411148071, 0.0, 0.6983816623687744]",2,10,30
Subject1,2022-08-17 22:13:21.621757,Connected Not Started,2022-08-17 22:12:59.687203,,Seeker,,Waiting for other player to connect.,"[0.33, 0.5, 0]","[5.0, 2.0, 10.0]","[-0.0, -0.7157255411148071, 0.0, 0.6983816623687744]",2,10,30
Subject1,2022-08-17 22:13:21.621757,Connected Not Started,2022-08-17 22:12:59.687203,,Seeker,,Waiting for other player to connect.,"[0.33, 0.5, 0]","[5.0, 2.0, 10.0]","[-0.0, -0.7157255411148071, 0.0, 0.6983816623687744]",2,10,30
Subject1,2022-08-17 22:13:21.621757,Connected Not Started,2022-08-17 22:12:59.687203,,Seeker,,Waiting for other player to connect.,"[0.33, 0.5, 0]","[5.0, 2.0, 10.0]","[-0.0, -0.7157255411148071, 0.0, 0.6983816623687744]",2,10,30
